"","row","col","value"
"1","0_fed_1","0_fed_1",0
"2","0_fed_2","0_fed_1",0.25
"3","0_unfed_1","0_fed_1",0.64
"4","0_unfed_2","0_fed_1",0.635294117647059
"5","18_fed_1","0_fed_1",0.782608695652174
"6","18_fed_2","0_fed_1",0.786585365853659
"7","18_unfed_1","0_fed_1",0.730337078651685
"8","18_unfed_2","0_fed_1",0.741573033707865
"9","28_fed_1","0_fed_1",0.826666666666667
"10","28_fed_2","0_fed_1",0.845679012345679
"11","28_unfed_1","0_fed_1",0.761006289308176
"12","28_unfed_2","0_fed_1",0.745454545454545
"13","5_fed_1","0_fed_1",0.677018633540373
"14","5_fed_2","0_fed_1",0.67065868263473
"15","5_unfed_1","0_fed_1",0.653631284916201
"16","5_unfed_2","0_fed_1",0.644067796610169
"17","0_fed_1","0_fed_2",0.25
"18","0_fed_2","0_fed_2",0
"19","0_unfed_1","0_fed_2",0.587878787878788
"20","0_unfed_2","0_fed_2",0.590062111801242
"21","18_fed_1","0_fed_2",0.78343949044586
"22","18_fed_2","0_fed_2",0.7875
"23","18_unfed_1","0_fed_2",0.692307692307692
"24","18_unfed_2","0_fed_2",0.696428571428572
"25","28_fed_1","0_fed_2",0.828767123287671
"26","28_fed_2","0_fed_2",0.825806451612903
"27","28_unfed_1","0_fed_2",0.72
"28","28_unfed_2","0_fed_2",0.705128205128205
"29","5_fed_1","0_fed_2",0.649350649350649
"30","5_fed_2","0_fed_2",0.64375
"31","5_unfed_1","0_fed_2",0.595238095238095
"32","5_unfed_2","0_fed_2",0.58433734939759
"33","0_fed_1","0_unfed_1",0.64
"34","0_fed_2","0_unfed_1",0.587878787878788
"35","0_unfed_1","0_unfed_1",0
"36","0_unfed_2","0_unfed_1",0.22972972972973
"37","18_fed_1","0_unfed_1",0.816753926701571
"38","18_fed_2","0_unfed_1",0.813471502590674
"39","18_unfed_1","0_unfed_1",0.511627906976744
"40","18_unfed_2","0_unfed_1",0.531791907514451
"41","28_fed_1","0_unfed_1",0.836158192090395
"42","28_fed_2","0_unfed_1",0.845744680851064
"43","28_unfed_1","0_unfed_1",0.680232558139535
"44","28_unfed_2","0_unfed_1",0.653409090909091
"45","5_fed_1","0_unfed_1",0.686486486486486
"46","5_fed_2","0_unfed_1",0.673684210526316
"47","5_unfed_1","0_unfed_1",0.181208053691275
"48","5_unfed_2","0_unfed_1",0.280254777070064
"49","0_fed_1","0_unfed_2",0.635294117647059
"50","0_fed_2","0_unfed_2",0.590062111801242
"51","0_unfed_1","0_unfed_2",0.22972972972973
"52","0_unfed_2","0_unfed_2",0
"53","18_fed_1","0_unfed_2",0.810810810810811
"54","18_fed_2","0_unfed_2",0.813829787234043
"55","18_unfed_1","0_unfed_2",0.554913294797688
"56","18_unfed_2","0_unfed_2",0.549707602339181
"57","28_fed_1","0_unfed_2",0.830409356725146
"58","28_fed_2","0_unfed_2",0.814606741573034
"59","28_unfed_1","0_unfed_2",0.707602339181287
"60","28_unfed_2","0_unfed_2",0.649122807017544
"61","5_fed_1","0_unfed_2",0.683333333333333
"62","5_fed_2","0_unfed_2",0.684491978609626
"63","5_unfed_1","0_unfed_2",0.233333333333333
"64","5_unfed_2","0_unfed_2",0.204081632653061
"65","0_fed_1","18_fed_1",0.782608695652174
"66","0_fed_2","18_fed_1",0.78343949044586
"67","0_unfed_1","18_fed_1",0.816753926701571
"68","0_unfed_2","18_fed_1",0.810810810810811
"69","18_fed_1","18_fed_1",0
"70","18_fed_2","18_fed_1",0.111111111111111
"71","18_unfed_1","18_fed_1",0.777142857142857
"72","18_unfed_2","18_fed_1",0.795454545454545
"73","28_fed_1","18_fed_1",0.776119402985075
"74","28_fed_2","18_fed_1",0.776223776223776
"75","28_unfed_1","18_fed_1",0.732876712328767
"76","28_unfed_2","18_fed_1",0.741935483870968
"77","5_fed_1","18_fed_1",0.74375
"78","5_fed_2","18_fed_1",0.734939759036145
"79","5_unfed_1","18_fed_1",0.819587628865979
"80","5_unfed_2","18_fed_1",0.824742268041237
"81","0_fed_1","18_fed_2",0.786585365853659
"82","0_fed_2","18_fed_2",0.7875
"83","0_unfed_1","18_fed_2",0.813471502590674
"84","0_unfed_2","18_fed_2",0.813829787234043
"85","18_fed_1","18_fed_2",0.111111111111111
"86","18_fed_2","18_fed_2",0
"87","18_unfed_1","18_fed_2",0.780898876404494
"88","18_unfed_2","18_fed_2",0.792134831460674
"89","28_fed_1","18_fed_2",0.762962962962963
"90","28_fed_2","18_fed_2",0.763888888888889
"91","28_unfed_1","18_fed_2",0.72972972972973
"92","28_unfed_2","18_fed_2",0.738853503184713
"93","5_fed_1","18_fed_2",0.748466257668712
"94","5_fed_2","18_fed_2",0.739644970414201
"95","5_unfed_1","18_fed_2",0.816326530612245
"96","5_unfed_2","18_fed_2",0.82741116751269
"97","0_fed_1","18_unfed_1",0.730337078651685
"98","0_fed_2","18_unfed_1",0.692307692307692
"99","0_unfed_1","18_unfed_1",0.511627906976744
"100","0_unfed_2","18_unfed_1",0.554913294797688
"101","18_fed_1","18_unfed_1",0.777142857142857
"102","18_fed_2","18_unfed_1",0.780898876404494
"103","18_unfed_1","18_unfed_1",0
"104","18_unfed_2","18_unfed_1",0.271428571428571
"105","28_fed_1","18_unfed_1",0.85207100591716
"106","28_fed_2","18_unfed_1",0.854748603351955
"107","28_unfed_1","18_unfed_1",0.603896103896104
"108","28_unfed_2","18_unfed_1",0.584905660377358
"109","5_fed_1","18_unfed_1",0.771276595744681
"110","5_fed_2","18_unfed_1",0.756476683937824
"111","5_unfed_1","18_unfed_1",0.52
"112","5_unfed_2","18_unfed_1",0.525714285714286
"113","0_fed_1","18_unfed_2",0.741573033707865
"114","0_fed_2","18_unfed_2",0.696428571428572
"115","0_unfed_1","18_unfed_2",0.531791907514451
"116","0_unfed_2","18_unfed_2",0.549707602339181
"117","18_fed_1","18_unfed_2",0.795454545454545
"118","18_fed_2","18_unfed_2",0.792134831460674
"119","18_unfed_1","18_unfed_2",0.271428571428571
"120","18_unfed_2","18_unfed_2",0
"121","28_fed_1","18_unfed_2",0.822085889570552
"122","28_fed_2","18_unfed_2",0.805882352941176
"123","28_unfed_1","18_unfed_2",0.607843137254902
"124","28_unfed_2","18_unfed_2",0.59748427672956
"125","5_fed_1","18_unfed_2",0.762162162162162
"126","5_fed_2","18_unfed_2",0.753926701570681
"127","5_unfed_1","18_unfed_2",0.497076023391813
"128","5_unfed_2","18_unfed_2",0.511627906976744
"129","0_fed_1","28_fed_1",0.826666666666667
"130","0_fed_2","28_fed_1",0.828767123287671
"131","0_unfed_1","28_fed_1",0.836158192090395
"132","0_unfed_2","28_fed_1",0.830409356725146
"133","18_fed_1","28_fed_1",0.776119402985075
"134","18_fed_2","28_fed_1",0.762962962962963
"135","18_unfed_1","28_fed_1",0.85207100591716
"136","18_unfed_2","28_fed_1",0.822085889570552
"137","28_fed_1","28_fed_1",0
"138","28_fed_2","28_fed_1",0.315217391304348
"139","28_unfed_1","28_fed_1",0.730769230769231
"140","28_unfed_2","28_fed_1",0.694029850746269
"141","5_fed_1","28_fed_1",0.768707482993197
"142","5_fed_2","28_fed_1",0.774193548387097
"143","5_unfed_1","28_fed_1",0.838888888888889
"144","5_unfed_2","28_fed_1",0.831460674157303
"145","0_fed_1","28_fed_2",0.845679012345679
"146","0_fed_2","28_fed_2",0.825806451612903
"147","0_unfed_1","28_fed_2",0.845744680851064
"148","0_unfed_2","28_fed_2",0.814606741573034
"149","18_fed_1","28_fed_2",0.776223776223776
"150","18_fed_2","28_fed_2",0.763888888888889
"151","18_unfed_1","28_fed_2",0.854748603351955
"152","18_unfed_2","28_fed_2",0.805882352941176
"153","28_fed_1","28_fed_2",0.315217391304348
"154","28_fed_2","28_fed_2",0
"155","28_unfed_1","28_fed_2",0.75177304964539
"156","28_unfed_2","28_fed_2",0.717241379310345
"157","5_fed_1","28_fed_2",0.807453416149068
"158","5_fed_2","28_fed_2",0.810650887573964
"159","5_unfed_1","28_fed_2",0.829787234042553
"160","5_unfed_2","28_fed_2",0.82258064516129
"161","0_fed_1","28_unfed_1",0.761006289308176
"162","0_fed_2","28_unfed_1",0.72
"163","0_unfed_1","28_unfed_1",0.680232558139535
"164","0_unfed_2","28_unfed_1",0.707602339181287
"165","18_fed_1","28_unfed_1",0.732876712328767
"166","18_fed_2","28_unfed_1",0.72972972972973
"167","18_unfed_1","28_unfed_1",0.603896103896104
"168","18_unfed_2","28_unfed_1",0.607843137254902
"169","28_fed_1","28_unfed_1",0.730769230769231
"170","28_fed_2","28_unfed_1",0.75177304964539
"171","28_unfed_1","28_unfed_1",0
"172","28_unfed_2","28_unfed_1",0.295652173913043
"173","5_fed_1","28_unfed_1",0.768292682926829
"174","5_fed_2","28_unfed_1",0.773255813953488
"175","5_unfed_1","28_unfed_1",0.685714285714286
"176","5_unfed_2","28_unfed_1",0.691428571428571
"177","0_fed_1","28_unfed_2",0.745454545454545
"178","0_fed_2","28_unfed_2",0.705128205128205
"179","0_unfed_1","28_unfed_2",0.653409090909091
"180","0_unfed_2","28_unfed_2",0.649122807017544
"181","18_fed_1","28_unfed_2",0.741935483870968
"182","18_fed_2","28_unfed_2",0.738853503184713
"183","18_unfed_1","28_unfed_2",0.584905660377358
"184","18_unfed_2","28_unfed_2",0.59748427672956
"185","28_fed_1","28_unfed_2",0.694029850746269
"186","28_fed_2","28_unfed_2",0.717241379310345
"187","28_unfed_1","28_unfed_2",0.295652173913043
"188","28_unfed_2","28_unfed_2",0
"189","5_fed_1","28_unfed_2",0.738095238095238
"190","5_fed_2","28_unfed_2",0.751412429378531
"191","5_unfed_1","28_unfed_2",0.636363636363636
"192","5_unfed_2","28_unfed_2",0.649717514124294
"193","0_fed_1","5_fed_1",0.677018633540373
"194","0_fed_2","5_fed_1",0.649350649350649
"195","0_unfed_1","5_fed_1",0.686486486486486
"196","0_unfed_2","5_fed_1",0.683333333333333
"197","18_fed_1","5_fed_1",0.74375
"198","18_fed_2","5_fed_1",0.748466257668712
"199","18_unfed_1","5_fed_1",0.771276595744681
"200","18_unfed_2","5_fed_1",0.762162162162162
"201","28_fed_1","5_fed_1",0.768707482993197
"202","28_fed_2","5_fed_1",0.807453416149068
"203","28_unfed_1","5_fed_1",0.768292682926829
"204","28_unfed_2","5_fed_1",0.738095238095238
"205","5_fed_1","5_fed_1",0
"206","5_fed_2","5_fed_1",0.169354838709677
"207","5_unfed_1","5_fed_1",0.684491978609626
"208","5_unfed_2","5_fed_1",0.703703703703704
"209","0_fed_1","5_fed_2",0.67065868263473
"210","0_fed_2","5_fed_2",0.64375
"211","0_unfed_1","5_fed_2",0.673684210526316
"212","0_unfed_2","5_fed_2",0.684491978609626
"213","18_fed_1","5_fed_2",0.734939759036145
"214","18_fed_2","5_fed_2",0.739644970414201
"215","18_unfed_1","5_fed_2",0.756476683937824
"216","18_unfed_2","5_fed_2",0.753926701570681
"217","28_fed_1","5_fed_2",0.774193548387097
"218","28_fed_2","5_fed_2",0.810650887573964
"219","28_unfed_1","5_fed_2",0.773255813953488
"220","28_unfed_2","5_fed_2",0.751412429378531
"221","5_fed_1","5_fed_2",0.169354838709677
"222","5_fed_2","5_fed_2",0
"223","5_unfed_1","5_fed_2",0.678756476683938
"224","5_unfed_2","5_fed_2",0.697435897435898
"225","0_fed_1","5_unfed_1",0.653631284916201
"226","0_fed_2","5_unfed_1",0.595238095238095
"227","0_unfed_1","5_unfed_1",0.181208053691275
"228","0_unfed_2","5_unfed_1",0.233333333333333
"229","18_fed_1","5_unfed_1",0.819587628865979
"230","18_fed_2","5_unfed_1",0.816326530612245
"231","18_unfed_1","5_unfed_1",0.52
"232","18_unfed_2","5_unfed_1",0.497076023391813
"233","28_fed_1","5_unfed_1",0.838888888888889
"234","28_fed_2","5_unfed_1",0.829787234042553
"235","28_unfed_1","5_unfed_1",0.685714285714286
"236","28_unfed_2","5_unfed_1",0.636363636363636
"237","5_fed_1","5_unfed_1",0.684491978609626
"238","5_fed_2","5_unfed_1",0.678756476683938
"239","5_unfed_1","5_unfed_1",0
"240","5_unfed_2","5_unfed_1",0.283018867924528
"241","0_fed_1","5_unfed_2",0.644067796610169
"242","0_fed_2","5_unfed_2",0.58433734939759
"243","0_unfed_1","5_unfed_2",0.280254777070064
"244","0_unfed_2","5_unfed_2",0.204081632653061
"245","18_fed_1","5_unfed_2",0.824742268041237
"246","18_fed_2","5_unfed_2",0.82741116751269
"247","18_unfed_1","5_unfed_2",0.525714285714286
"248","18_unfed_2","5_unfed_2",0.511627906976744
"249","28_fed_1","5_unfed_2",0.831460674157303
"250","28_fed_2","5_unfed_2",0.82258064516129
"251","28_unfed_1","5_unfed_2",0.691428571428571
"252","28_unfed_2","5_unfed_2",0.649717514124294
"253","5_fed_1","5_unfed_2",0.703703703703704
"254","5_fed_2","5_unfed_2",0.697435897435898
"255","5_unfed_1","5_unfed_2",0.283018867924528
"256","5_unfed_2","5_unfed_2",0
